origin_country,commodity,hs_prefix,order_type,case_number,has_active_order,publication_date,source_doc,source_url,title
CN,aluminum,7604,AD/CVD,,true,2025-09-29,2025-18882,https://www.federalregister.gov/documents/2025/09/29/2025-18882/sol-gel-alumina-based-ceramic-abrasive-grains-from-the-peoples-republic-of-china-antidumping-duty,Sol Gel Alumina-Based Ceramic Abrasive Grains From the People's Republic of China: Antidumping Duty Order and Countervailing Duty Order
CN,solar,8541,CVD,,true,2026-02-10,2026-02558,https://www.federalregister.gov/documents/2026/02/10/2026-02558/certain-crystalline-silicon-photovoltaic-products-from-the-peoples-republic-of-china-final-results,Certain Crystalline Silicon Photovoltaic Products From the People's Republic of China: Final Results of the Expedited Second Sunset Review of the Countervailing Duty Order
CN,steel,72,AD/CVD,,true,2026-05-13,2026-09460,https://www.federalregister.gov/documents/2026/05/13/2026-09460/temporary-steel-fencing-from-the-peoples-republic-of-china-antidumping-duty-order-and-countervailing,Temporary Steel Fencing From the People's Republic of China: Antidumping Duty Order and Countervailing Duty Order
CN,tires,4011,AD,,true,2026-05-04,2026-08635,https://www.federalregister.gov/documents/2026/05/04/2026-08635/certain-passenger-vehicle-and-light-truck-tires-from-the-peoples-republic-of-china-final-results-of,Certain Passenger Vehicle and Light Truck Tires From the People's Republic of China: Final Results of the Expedited Second Sunset Review of the Antidumping Duty Order
CN,wood,44,CVD,,true,2026-05-05,2026-08737,https://www.federalregister.gov/documents/2026/05/05/2026-08737/wood-mouldings-and-millwork-products-from-the-peoples-republic-of-china-final-results-of-the,Wood Mouldings and Millwork Products From the People's Republic of China: Final Results of the Expedited First Sunset Review of the Countervailing Duty Order
