src_name,rel_type,dst_name,dst_identifier,source
"MasterBrand Cabinets, Inc",OWNED_BY,"MasterBrand, Inc.",549300E0Y4BR5Z9RDZ64,GLEIF
"Geo Specialty Chemicals, Inc",PARENT_OF,GEO SPECIALTY CHEMICALS LIMITED,549300PVGGTS3VO4O092,GLEIF
"Hog Slat, Inc",PARENT_OF,"HS INTERNATIONAL, LLC",549300WIKVNZBVUSK416,GLEIF
"Hog Slat, Inc",PARENT_OF,"HS MIDWEST PROPERTIES, LLC",549300OX0010KBI6G214,GLEIF
"Hog Slat, Inc",PARENT_OF,"TDM LAND COMPANY, LLC",549300NLTQ0VQPLPZB41,GLEIF
"Hog Slat, Inc",PARENT_OF,"Tdm Farms, Inc.",549300RWKZYVCRI2PX76,GLEIF
"Greenbrier Companies, Inc",PARENT_OF,ASTRA RAIL INDUSTRIES S.A.,549300515MC3LNUCJG65,GLEIF
"Greenbrier Companies, Inc",PARENT_OF,GREENBRIER POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,549300KDP1Z21UU9SS91,GLEIF
"Greenbrier Companies, Inc",PARENT_OF,GREENBRIER LEASING COMPANY LLC,549300XZRB0WCOCJIB44,GLEIF
